"","Temp","Day","Symbiont","Pot","Replicate","cells.larvae","count.type","cells.larvae_log","cells.larvae_counts","cells.larvae_counts_round","Infect","PotCode"
"1125","30","7","D1","1","E",27.212956875,"ddPCR",1.45044860502104,27.212956875,27,1,"301D1"
"31011","30","3","D1","1","C",94.6455001831055,"ddPCR",1.98066454266842,94.6455001831055,95,1,"301D1"
"1524","30","3","D1","3","E",87.160736322403,"ddPCR",1.94527520876975,87.160736322403,87,1,"303D1"
"2722","27","3","D1","1","D",0,"ddPCR",0,0,0,0,"271D1"
"3914","31","3","D1","1","C",286.132037639617,"ddPCR",2.45808165294177,286.132037639618,286,1,"311D1"
"5117","27","7","D1","3","D",1252.46024131775,"ddPCR",3.09811056306476,1252.46024131775,1252,1,"273D1"
"6313","27","7","D1","1","D",476.162254810334,"ddPCR",2.67866608215688,476.162254810334,476,1,"271D1"
"7412","27","3","D1","1","C",37.9131585359574,"ddPCR",1.59009648341399,37.9131585359574,38,1,"271D1"
"7512","30","7","D1","3","E",79.9450054764747,"ddPCR",1.90819005678396,79.9450054764747,80,1,"303D1"
"8612","27","3","D1","2","C",0,"ddPCR",0,0,0,0,"272D1"
"2127","27","3","D1","2","C",13.9042995870114,"ddPCR",1.17331157160358,13.9042995870114,14,1,"272D1"
"1424","30","7","D1","3","E",120.129749178886,"ddPCR",2.08325081793705,120.129749178886,120,1,"303D1"
"2624","27","7","D1","3","D",1210.67893505096,"ddPCR",3.0833875577777,1210.67893505096,1211,1,"273D1"
"28","27","3","D1","1","A",185,"scope",2.13334216756484,134.938404260264,135,1,"271D1"
"29","27","3","D1","1","B",53,"scope",1.62845013423359,41.5059898552608,42,1,"271D1"
"30","27","3","D1","1","C",93,"scope",1.85474018238372,70.5715103993939,71,1,"271D1"
"31","27","3","D1","2","A",66,"scope",1.71651031453878,51.0607373133574,51,1,"272D1"
"32","27","3","D1","2","B",49,"scope",1.59703180407586,38.5395574454905,39,1,"272D1"
"3311","27","3","D1","2","C",250,"scope",2.25569329819218,179.174488659278,179,1,"272D1"
"341","27","3","D1","3","A",143,"scope",2.02886074256953,105.871213950132,106,1,"273D1"
"35","27","3","D1","3","B",0,"scope",0,0,0,0,"273D1"
"36","27","3","D1","3","C",2346,"scope",3.16828230422268,1472.26986010655,1472,1,"273D1"
"37","30","3","D1","1","A",2856,"scope",3.24855562595978,1771.37504260649,1771,1,"301D1"
"38","30","3","D1","1","B",336,"scope",2.37597210681906,236.668763557826,237,1,"301D1"
"39","30","3","D1","1","C",406,"scope",2.45301874467171,282.80415190804,283,1,"301D1"
"40","30","3","D1","2","A",69,"scope",1.7343921576134,53.2490525377649,53,1,"302D1"
"41","30","3","D1","2","B",178,"scope",2.1176818491211,130.123897344857,130,1,"302D1"
"42","30","3","D1","2","C",249,"scope",2.25406360815172,178.4996508481,178,1,"302D1"
"43","30","3","D1","3","A",58,"scope",1.66460089094362,45.1956296490088,45,1,"303D1"
"44","30","3","D1","3","B",488,"scope",2.5279503275762,336.248733634871,336,1,"303D1"
"451","30","3","D1","3","C",524,"scope",2.5569497452016,359.536920735556,360,1,"303D1"
"461","31","3","D1","1","A",48,"scope",1.5887843152268,37.795764574664,38,1,"311D1"
"47","31","3","D1","1","B",134,"scope",2.00251374238531,99.580488919392,100,1,"311D1"
"48","31","3","D1","1","C",5,"scope",0.731462175360625,4.38842913101977,4,1,"311D1"
"49","31","3","D1","2","A",45,"scope",1.56299236178068,35.5588361716452,36,1,"312D1"
"50","31","3","D1","2","B",93,"scope",1.85474018238372,70.5715103993939,71,1,"312D1"
"51","31","3","D1","2","C",12,"scope",1.04710675116843,10.1456846491952,10,1,"312D1"
"52","31","3","D1","3","A",170,"scope",2.09901634376862,124.607723265693,125,1,"313D1"
"53","31","3","D1","3","B",344,"scope",2.38554994936888,241.968487050072,242,1,"313D1"
"54","31","3","D1","3","C",544,"scope",2.57221271214004,372.433015947579,372,1,"313D1"
"1010","27","7","D1","1","A",1581.481481,"hemo",3.00737831820198,1016.13434281261,1016,1,"271D1"
"1110","27","7","D1","1","B",972.2222222,"hemo",2.80891929587964,643.049571883166,643,1,"271D1"
