Temp,Symbiont,Pot,Replicate,Project,Tube label,Nuber of Larvae other than 3,Count1,Count2,Mean cells/mL,total volume (mL),#cells in 70 uL,Cells per larva,Day
31C,C1,2,B,SC18_D14_DNA,101,2,1,0,555.5555556,0.07,38.88888889,19.44444444,14
31C,C1,2,C,SC18_D14_DNA,102,2,0,0,0,0.07,0,0,14
31C,C1,3,A,SC18_D14_DNA,103,2,0,0,0,0.07,0,0,14
31C,C1,3,B,SC18_D14_DNA,104,2,1,0,555.5555556,0.07,38.88888889,19.44444444,14
31C,C1,3,C,SC18_D14_DNA,105,2,0,0,0,0.07,0,0,14
31C,F1,3,A,SC18_D14_DNA,121,1,1,5,3333.333333,0.07,233.3333333,233.3333333,14
31C,F1,3,B,SC18_D14_DNA,122,1,1,1,1111.111111,0.07,77.77777778,77.77777778,14
31C,F1,3,C,SC18_D14_DNA,123,2,4,0,2222.222222,0.07,155.5555556,77.77777778,14
31C,G3,1,A,SC18_D14_DNA,124,1,23,17,22222.22222,0.07,1555.555556,1555.555556,14
31C,G3,1,B,SC18_D14_DNA,125,1,1,9,5555.555556,0.07,388.8888889,388.8888889,14
31C,G3,1,C,SC18_D14_DNA,126,1,5,3,4444.444444,0.07,311.1111111,311.1111111,14
